7,8,10,15,16
9129.0,17.0,206.59,126.58,111.63
12950.0,18.0,206.62,158.11,155.78
12950.0,18.0,206.62,158.11,155.78
2530.0,17.0,70.06,102.31,50.55
2530.0,17.0,70.06,102.31,50.55
0.0,121.93,128.59,176.08,0.0
10696.0,16.0,207.86,163.87,167.62
19778.0,20.0,206.96,278.43,278.03
25.0,,,0.0,0.0
0.0,174.96,1.75175.08.95,0.0,0.0
236.0,526.24,2.64.54,0.0,0.0
236.0,526.24,2.64.54,0.0,0.0
17153.0,17.0,122.59,317.34,317.93
17153.0,17.0,122.59,317.34,317.93
78.0,529.80.84.75,,0.0,0.0
78.0,529.80.84.75,,0.0,0.0
78.0,529.80.84.75,,0.0,0.0
12203.0,19.0,207.58,245.53,244.74
10074.0,14.0,56.00,88.0,76.0
5092.0,20.0,172.08,231.06,226.04
264.0,8.0,121.55,9.99,7.26
264.0,8.0,121.55,9.99,7.26
0.0,71.65,290.9,244.9,0.0
3769.0,16.0,197.59,58.07,47.15
3.0,198.43,,0.0,0.0
13832.0,18.0,120.53,548.78,547.99
12909.0,19.0,207.06,149.97,148.66
10661.0,21.0,208.71,135.99,136.74
40795.0,16.7,-1,0.0,0.0
15337.0,19.0,206.65,244.82,243.02
3179.0,26.0,44.00,22.0,14.0
11586.0,23.0,92.01,216.52,100.73
61.0,208.06.18,,0.0,0.0
4528.0,21.0,27.00,22.0,24.0
2173.0,15.0,54.26,86.35,60.1
3765.0,25.0,27.00,39.0,41.0
20.0,218.98,,0.0,0.0
4903.0,22.0,29.00,25.0,28.0
11886.0,14.0,69.00,41.0,42.0
11886.0,14.0,69.00,41.0,42.0
11886.0,14.0,69.00,41.0,42.0
11886.0,14.0,69.00,41.0,42.0
11886.0,14.0,69.00,41.0,42.0
11886.0,14.0,69.00,41.0,42.0
11886.0,14.0,69.00,41.0,42.0
11886.0,14.0,69.00,41.0,42.0
11886.0,14.0,69.00,41.0,42.0
11886.0,14.0,69.00,41.0,42.0
8494.0,24.0,41.00,63.0,92.0
4324.0,30.0,8.00,28.0,34.0
4324.0,30.0,8.00,28.0,34.0
4324.0,30.0,8.00,28.0,34.0
4324.0,30.0,8.00,28.0,34.0
4.0,70.00,,0.0,0.0
1.0,77.00,,0.0,0.0
46.0,92.48.17,,0.0,0.0
66.0,92.36.21,,0.0,0.0
8527.0,16.0,51.00,115.0,96.0
1653.0,2.0,43.00,23.0,0.0
2380.0,15.0,20.60,118.67,60.62
3316.0,65.00,10,17.0,0.0
21715.0,24.7,199.00,916.0,920.0
21715.0,24.7,199.00,916.0,920.0
12260.0,26.1,192.00,494.0,493.0
7346.0,26.0,159.17,158.3,45.42
12.0,73.00,11,0.0,0.0
1.0,77.00,,0.0,0.0
21.0,67.00,,0.0,0.0
2016.0,17.0,81.25,80.37,109.3
195.0,75.00,1,0.0,0.0
47.0,77.00,1,0.0,0.0
47.0,77.00,1,0.0,0.0
8410.0,16.0,2.00,19.0,18.0
2266.0,17.0,69.41,132.72,117.89
86.0,1.00,4,0.0,0.0
31050.0,21.6,-26.00,1394.0,1386.0
31050.0,21.6,-26.00,1394.0,1386.0
25.0,279.00,,0.0,0.0
38478.0,21.6,-27.00,1702.0,1700.0
38478.0,21.6,-27.00,1702.0,1700.0
38478.0,21.6,-27.00,1702.0,1700.0
2945.0,23.0,148.16,34.37,22.92
2945.0,23.0,148.16,34.37,22.92
2945.0,23.0,148.16,34.37,22.92
2943.0,21.0,159.07,22.45,33.86
5.0,159.91,,0.0,0.0
5.0,159.91,,0.0,0.0
1619.0,17.0,-22.00,148.0,152.0
1619.0,17.0,-22.00,148.0,152.0
4959.0,23.0,159.71,39.33,39.46
1384.0,24.0,174.78,7.01,22.38
3675.0,27.0,158.53,38.11,37.39
14.0,159.47,,0.0,0.0
12727.0,25.2,199.00,410.0,421.0
12727.0,25.2,199.00,410.0,421.0
12727.0,25.2,199.00,410.0,421.0
16454.0,18.0.00,260,260.0,0.0
10.0,222.25.01.1,,0.0,0.0
1935.0,30.6,107.12,9.68,14.04
1160.0,20.0,2136.00,32.0,27.0
7675.0,27.0,308.00,80.0,59.0
5667967.0,19.0,121.00,587.0,587.0
251.0,13.0,907.00,6.0,9.0
5482.0,23.0,304.00,107.0,84.0
4617.0,10.0,218.00,121.0,117.0
2338.0,15.0,147.00,38.0,41.0
2026.0,15.0,7.00,42.0,43.0
6704.0,18.0,304.00,151.0,170.0
26529.0,20.1,10.92,188.55,184.86
24951.0,21.0,33.02,187.38,209.32
1310.0,73.00,1,0.0,0.0
3236.0,71.00,,0.0,0.0
4405.0,27.0,26.46,162.2,42.5
7941.0,22.0,146.30,132.94,256.65
50771.0,20.6,14.60,365.29,365.3
18498.0,24.1,10.52,115.32,111.2
18344.0,24.2,15.83,110.48,115.64
7745.0,24.0,151.81,132.07,132.65
15792.0,17.6,26.23,121.46,133.11
28212.0,21.6,14.54,181.08,180.97
18123.0,18.7,14.68,110.34,110.37
7556.0,20.0,59.00,137.0,67.0
19080.0,18.5,25.49,155.02,160.2
20472.0,16.9,11.55,127.3,124.22
34125.0,22.1,12.23,118.5,119.02
2338.0,20.1,14.67,14.52,18.4
52811.0,18.2,15.59,563.55,564.54
8482.0,32.0,28.00,68.0,89.0
67.0,41.00,2,13.0,0.0
3390.0,25.0,120.31,155.73,129.11
7.0,-4.00,,0.0,0.0
55791.0,17.9,22.28,420.88,421.44
55791.0,17.9,22.28,420.88,421.44
11932.0,26.0,151.60,190.25,191.29
769.0,27.0,13.13,4.28,4.47
1675.0,23.0,132.97,52.43,64.61
2590.0,27.0,146.21,81.65,95.95
7164.0,25.0,199.00,62.0,145.0
0.0,410.12,,0.0,0.0
356.0,410.12.81.86,,0.0,0.0
3097.0,24.0,322.00,58.0,48.0
6624.0,24.0,147.00,25.0,94.0
6628.0,19.0,21.00,145.0,28.0
2848.0,15.0,75.00,16.0,25.0
2848.0,15.0,75.00,16.0,25.0
5368.0,14.0,64.00,40.0,30.0
51200.0,19.0,22.93,493.98,502.26
12423.0,21.3,14.61,124.99,116.53
322.0,329.00,3,7.0,0.0
21.0,264.00,,0.0,0.0
13.0,591.35.28,,0.0,0.0
5.0,3.00,,0.0,0.0
1.0,7.00,,0.0,0.0
36332.0,20.1,14.58,256.45,256.38
18776.0,20.0,127.00,242.0,245.0
